3MINDIA:EQ
AARTIIND:EQ
ABAN:EQ
ABB:EQ
ABIRLANUVO:EQ
ACC:EQ
ADANIENT:EQ
ADANIPORTS:EQ
ADANIPOWER:EQ
ADVANTA:EQ
AIAENG:EQ
AIL:EQ
AJANTPHARM:EQ
AKZOINDIA:EQ
ALBK:EQ
ALLCARGO:EQ
ALSTOMT&D:EQ
AMARAJABAT:EQ
AMBUJACEM:EQ
AMTEKAUTO:EQ
ANDHRABANK:EQ
ANSALAPI:EQ
APOLLOHOSP:EQ
APOLLOTYRE:EQ
APTECHT:EQ
ARVIND:EQ
ASAHIINDIA:EQ
ASHAPURMIN:EQ
ASHOKLEY:EQ
ASIANPAINT:EQ
ASTRAZEN:EQ
ATFL:EQ
ATUL:EQ
AUROPHARMA:EQ
AUTOAXLES:EQ
AUTOIND:EQ
AXISBANK:EQ
BAJAJ-AUTO:EQ
BAJAJELEC:EQ
BAJAJFINSV:EQ
BAJAJHIND:EQ
BAJAJHLDNG:EQ
BAJFINANCE:EQ
BALKRISIND:EQ
BALRAMCHIN:EQ
BANCOINDIA:EQ
BANKBARODA:EQ
BANKBEES:EQ
BANKINDIA:EQ
BASF:EQ
BATAINDIA:EQ
BEL:EQ
BEML:EQ
BGRENERGY:EQ
BHARATFORG:EQ
BHARTIARTL:EQ
BHEL:EQ
BIOCON:EQ
BOSCHLTD:EQ
BPCL:EQ
BRITANNIA:EQ
CADILAHC:EQ
CAIRN:EQ
CANBK:EQ
CASTROLIND:EQ
CEATLTD:EQ
CENTURYPLY:EQ
CENTURYTEX:EQ
CESC:EQ
CHENNPETRO:EQ
CIPLA:EQ
COALINDIA:EQ
COFFEEDAY:EQ
COLPAL:EQ
COROMANDEL:EQ
COX&KINGS:EQ
CROMPGREAV:EQ
CUMMINSIND:EQ
DABUR:EQ
DBCORP:EQ
DBREALTY:EQ
DELTACORP:EQ
DHFL:EQ
DISHMAN:EQ
DISHTV:EQ
DIVISLAB:EQ
DLF:EQ
DRREDDY:EQ
EICHERMOT:EQ
ENGINERSIN:EQ
ESCORTS:EQ
EVEREADY:EQ
EXIDEIND:EQ
FEDERALBNK:EQ
FORTIS:EQ
FRL:EQ
GAIL:EQ
GATI:EQ
GESHIP:EQ
GILLETTE:EQ
GLAXO:EQ
GLENMARK:EQ
GMRINFRA:EQ
GODREJIND:EQ
GODREJPROP:EQ
GOLDBEES:EQ
GRANULES:EQ
GRASIM:EQ
GSKCONS:EQ
GSPL:EQ
GUJFLUORO:EQ
HAVELLS:EQ
HCLTECH:EQ
HDFC:EQ
HDFCBANK:EQ
HDIL:EQ
HEROMOTOCO:EQ
HEXAWARE:EQ
HINDALCO:EQ
HINDCOPPER:EQ
HINDPETRO:EQ
HINDUNILVR:EQ
HINDZINC:EQ
HOTELEELA:EQ
IBREALEST:EQ
IBULHSGFIN:EQ
ICICIBANK:EQ
ICIL:EQ
IDBI:EQ
IDEA:EQ
IDFC:EQ
IFCI:EQ
IGL:EQ
INDHOTEL:EQ
INDIACEM:EQ
INDIGO:EQ
INDUSINDBK:EQ
INFRATEL:EQ
INFY:EQ
IOB:EQ
IOC:EQ
IRB:EQ
ITC:EQ
JETAIRWAYS:EQ
JINDALSTEL:EQ
JISLJALEQS:EQ
JKCEMENT:EQ
JKTYRE:EQ
JPASSOCIAT:EQ
JPPOWER:EQ
JSWENERGY:EQ
JSWSTEEL:EQ
JUBLFOOD:EQ
JUSTDIAL:EQ
JYOTHYLAB:EQ
KARURVYSYA:EQ
KEC:EQ
KOTAKBANK:EQ
KPIT:EQ
KSCL:EQ
KTKBANK:EQ
L&TFH:EQ
LICHSGFIN:EQ
LINDEINDIA:EQ
LIQUIDBEES:EQ
LOVABLE:EQ
LT:EQ
LUPIN:EQ
M&M:EQ
M&MFIN:EQ
M100:EQ
M50:EQ
MARICO:EQ
MARUTI:EQ
MCDOWELL-N:EQ
MCLEODRUSS:EQ
MERCATOR:EQ
MINDTREE:EQ
MOTHERSUMI:EQ
MPHASIS:EQ
MRF:EQ
MRPL:EQ
NAUKRI:EQ
NCC:EQ
NHPC:EQ
NIFTYBEES:EQ
NMDC:EQ
NTPC:EQ
OFSS:EQ
OIL:EQ
ONGC:EQ
ORIENTBANK:EQ
PAGEIND:EQ
PEL:EQ
PETRONET:EQ
PFC:EQ
PIDILITIND:EQ
PNB:EQ
POLARIS:EQ
POWERGRID:EQ
PRICOL:EQ
PTC:EQ
QUICKHEAL:EQ
RCOM:EQ
RECLTD:EQ
RELCAPITAL:EQ
RELIANCE:EQ
RELINFRA:EQ
ROLTA:EQ
RPOWER:EQ
SAIL:EQ
SBIN:EQ
SIEMENS:EQ
SINTEX:EQ
SKSMICRO:EQ
SNOWMAN:EQ
SOUTHBANK:EQ
SRF:EQ
SRTRANSFIN:EQ
STAR:EQ
SUNPHARMA:EQ
SUNTV:EQ
SUZLON:EQ
SYNDIBANK:EQ
TATACHEM:EQ
TATACOFFEE:EQ
TATACOMM:EQ
TATAGLOBAL:EQ
TATAMOTORS:EQ
TATAMTRDVR:EQ
TATAPOWER:EQ
TATASTEEL:EQ
TCS:EQ
TECHM:EQ
TITAN:EQ
TORNTPHARM:EQ
TORNTPOWER:EQ
TTKPRESTIG:EQ
TTML:EQ
TUBEINVEST:EQ
TV18BRDCST:EQ
TVSMOTOR:EQ
UBL:EQ
UCOBANK:EQ
ULTRACEMCO:EQ
UNIONBANK:EQ
UNITECH:EQ
UPL:EQ
VEDL:EQ
VENKEYS:EQ
VGUARD:EQ
VIDEOIND:EQ
VOLTAS:EQ
WELSPUNIND:EQ
WIPRO:EQ
WOCKPHARMA:EQ
WONDERLA:EQ
YESBANK:EQ
ZEEL:EQ
