,ATFL.NS,ATUL.NS,AUROPHARMA.NS,AUTOAXLES.NS,AUTOIND.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJELEC.NS,BAJAJFINSV.NS,BAJAJHIND.NS,BAJAJHLDNG.NS,BAJFINANCE.NS,BALKRISIND.NS,BALRAMCHIN.NS,BANCOINDIA.NS,BANKBARODA.NS,BANKBEES.NS,BANKINDIA.NS,BASF.NS,BATAINDIA.NS,BEL.NS,BEML.NS,BGRENERGY.NS,BHARATFORG.NS,BHARTIARTL.NS,BHEL.NS,BIOCON.NS,BOSCHLTD.NS,BPCL.NS,BRITANNIA.NS,CADILAHC.NS,time
0,469.40,"1,515.05",752.40,589.70,40.15,437.50,"2,356.40",196.50,"1,724.80",18.95,"1,434.20","6,874.20",619.95,100.00,109.95,144.00,"1,595.67",96.55,869.20,508.55,"1,201.70","1,090.90",105.50,888.50,358.20,116.40,463.95,"20,217.50",868.50,"2,725.30",320.25,2016:03:24 20:11:34
1,469.40,"1,515.05",752.40,589.70,40.15,437.50,"2,356.40",196.50,"1,724.80",18.95,"1,434.20","6,874.20",619.95,100.00,109.95,144.00,"1,595.67",96.55,869.20,508.55,"1,201.70","1,090.90",105.50,888.50,358.20,116.40,463.95,"20,217.50",868.50,"2,725.30",320.25,2016:03:24 20:12:34
2,469.40,"1,515.05",752.40,589.70,40.15,437.50,"2,356.40",196.50,"1,724.80",18.95,"1,434.20","6,874.20",619.95,100.00,109.95,144.00,"1,595.67",96.55,869.20,508.55,"1,201.70","1,090.90",105.50,888.50,358.20,116.40,463.95,"20,217.50",868.50,"2,725.30",320.25,2016:03:24 20:13:34
