,VEDL.NS,VENKEYS.NS,VGUARD.NS,VIDEOIND.NS,VOLTAS.NS,WELSPUNIND.NS,WIPRO.NS,WOCKPHARMA.NS,WONDERLA.NS,YESBANK.NS,ZEEL.NS,time
0,96.20,346.25,860.00,107.60,268.90,107.00,557.90,955.00,377.00,848.00,387.50,2016:03:24 13:01:51
1,96.20,346.25,860.00,107.60,268.90,107.00,557.90,955.00,377.00,848.00,387.50,2016:03:24 13:03:51
2,96.20,346.25,860.00,107.60,268.90,107.00,557.90,955.00,377.00,848.00,387.50,2016:03:24 13:05:11
3,96.20,346.25,860.00,107.60,268.90,107.00,557.90,955.00,377.00,848.00,387.50,2016:03:24 13:05:51
