,3MINDIA.NS,AARTIIND.NS,ABAN.NS,ABB.NS,ABIRLANUVO.NS,ACC.NS,ADANIENT.NS,ADANIPORTS.NS,ADANIPOWER.NS,ADVANTA.NS,AIAENG.NS,AIL.NS,AJANTPHARM.NS,AKZOINDIA.NS,ALBK.NS,ALLCARGO.NS,ALSTOMT%26D.NS,AMARAJABAT.NS,AMBUJACEM.NS,AMTEKAUTO.NS,ANDHRABANK.NS,ANSALAPI.NS,APOLLOHOSP.NS,APOLLOTYRE.NS,APTECHT.NS,ARVIND.NS,ASAHIINDIA.NS,ASHAPURMIN.NS,ASHOKLEY.NS,ASIANPAINT.NS,ASTRAZEN.NS,time
0,"10,799.55",466.65,184.35,"1,206.45",833.65,"1,372.65",71.20,238.30,31.80,465.20,938.15,588.35,"1,404.05","1,271.95",52.90,155.90,400.25,904.70,228.25,31.50,50.75,17.95,"1,392.15",175.20,59.40,275.70,154.00,72.85,106.00,850.00,"1,165.60",2016:03:24 20:11:12
1,"10,799.55",466.65,184.35,"1,206.45",833.65,"1,372.65",71.20,238.30,31.80,465.20,938.15,588.35,"1,404.05","1,271.95",52.90,155.90,400.25,904.70,228.25,31.50,50.75,17.95,"1,392.15",175.20,59.40,275.70,154.00,72.85,106.00,850.00,"1,165.60",2016:03:24 20:12:12
2,"10,799.55",466.65,184.35,"1,206.45",833.65,"1,372.65",71.20,238.30,31.80,465.20,938.15,588.35,"1,404.05","1,271.95",52.90,155.90,400.25,904.70,228.25,31.50,50.75,17.95,"1,392.15",175.20,59.40,275.70,154.00,72.85,106.00,850.00,"1,165.60",2016:03:24 20:13:12
3,"10,799.55",466.65,184.35,"1,206.45",833.65,"1,372.65",71.20,238.30,31.80,465.20,938.15,588.35,"1,404.05","1,271.95",52.90,155.90,400.25,904.70,228.25,31.50,50.75,17.95,"1,392.15",175.20,59.40,275.70,154.00,72.85,106.00,850.00,"1,165.60",2016:03:24 20:14:12
